Date,Year,Decade,Country,Magnitude,Depth_km,Deaths,Population_Density,Urbanization_Rate,Lat,Long
1900-05-11,1900.0,1900.0,Japan,7.0,5.0,,,,38.7,141.1
1900-07-12,1900.0,1900.0,Turkey,5.9,,140.0,,,40.3,43.1
1900-10-29,1900.0,1900.0,Venezuela,7.7,0.0,,,,11.0,-66.0
1901-02-15,1901.0,1900.0,China,6.5,0.0,,,,26.0,100.1
1901-03-31,1901.0,1900.0,Bulgaria,6.4,,4.0,,,43.4,28.7
1901-08-09,1901.0,1900.0,Japan,7.2,35.0,,,,40.5,142.5
1901-11-15,1901.0,1900.0,New Zealand,6.8,0.0,1.0,,,-43.0,173.0
1902-01-30,1902.0,1900.0,Japan,6.9,35.0,1.0,,,40.5,141.3
1902-02-13,1902.0,1900.0,Azerbaijan,6.9,15.0,86.0,,,40.7,48.6
1902-03-09,1902.0,1900.0,Turkey,5.5,,4.0,,,40.7,33.6
1902-04-19,1902.0,1900.0,Guatemala,7.5,0.0,2000.0,,,14.0,-91.0
1902-07-03,1902.0,1900.0,China,6.7,20.0,,,,43.2,129.6
1902-08-22,1902.0,1900.0,China,7.7,0.0,5650.0,,,40.0,77.0
,,,Australia,6.0,2.0,2.0,,,-35.0,138.0
1902-12-16,1902.0,1900.0,Uzbekistan,6.4,9.0,4725.0,,,40.8,72.3
1903-03-29,1903.0,1900.0,Palestine,5.7,,20.0,,,32.2,35.3
,,,Turkey,7.0,,3500.0,,,39.14,42.65
1903-05-28,1903.0,1900.0,Turkey,5.8,,1000.0,,,40.9,42.7
1903-08-11,1903.0,1900.0,Greece,8.3,80.0,2.0,,,36.36,22.97
1903-09-25,1903.0,1900.0,Iran,6.5,,200.0,,,35.2,58.2
1904-04-24,1904.0,1900.0,Taiwan,6.0,,3.0,,,23.5,120.5
1904-08-11,1904.0,1900.0,Greece,6.2,10.0,4.0,,,37.75,27.0
1904-08-30,1904.0,1900.0,China,6.8,0.0,565.0,,,30.0,101.0
1904-11-05,1904.0,1900.0,Taiwan,6.3,,145.0,,,23.5,120.3
1905-04-04,1905.0,1900.0,India,7.8,0.0,20000.0,,,33.0,76.0
1905-06-01,1905.0,1900.0,Albania,6.6,20.0,120.0,,,42.1,19.6
1905-06-02,1905.0,1900.0,Japan,7.0,55.0,11.0,,,34.1,132.5
1905-09-08,1905.0,1900.0,Italy,6.8,0.0,2500.0,,,39.0,16.0
1905-11-08,1905.0,1900.0,Greece,6.8,0.0,,,,40.0,24.0
1906-01-31,1906.0,1900.0,Ecuador,8.8,0.0,1000.0,,,1.0,-81.5
1906-03-16,1906.0,1900.0,Taiwan,6.8,5.0,1258.0,,,23.6,120.4
1906-04-13,1906.0,1900.0,Taiwan,7.1,5.0,15.0,,,23.6,120.4
1906-04-18,1906.0,1900.0,United States,7.8,0.0,2000.0,,,38.0,-123.0
1906-08-17,1906.0,1900.0,Chile,8.2,0.0,20000.0,,,-33.0,-72.0
1906-12-22,1906.0,1900.0,China,7.2,0.0,285.0,,,43.5,85.0
1907-01-04,1907.0,1900.0,Indonesia,7.5,50.0,400.0,,,2.0,94.5
1907-01-14,1907.0,1900.0,Jamaica,6.5,,1000.0,,,18.2,-76.7
1907-04-15,1907.0,1900.0,Mexico,7.9,0.0,28.0,,,17.0,-100.0
1907-04-18,1907.0,1900.0,Philippines,7.1,0.0,2.0,,,14.0,123.0
1907-10-21,1907.0,1900.0,Tajikistan,7.2,0.0,15000.0,,,38.0,69.0
1908-01-11,1908.0,1900.0,Taiwan,6.8,5.0,2.0,,,23.0,121.1
1908-12-28,1908.0,1900.0,Italy,7.2,0.0,82000.0,,,38.0,15.5
1909-01-19,1909.0,1900.0,Turkey,5.8,,8.0,,,38.6,26.9
,,,Iran,7.3,,,,,33.0,50.0
1909-02-09,1909.0,1900.0,Turkey,6.8,60.0,,,,40.0,38.0
1909-04-14,1909.0,1900.0,Taiwan,7.1,5.0,9.0,,,25.0,122.5
1909-04-23,1909.0,1900.0,Portugal,6.6,,30.0,,,38.9,-8.8
1909-05-11,1909.0,1900.0,China,6.5,,19.0,,,24.4,103.0
1909-06-03,1909.0,1900.0,Indonesia,7.2,0.0,200.0,,,-2.0,101.0
,,,France,6.2,,46.0,,,43.7,5.4
1909-08-14,1909.0,1900.0,Japan,6.7,5.0,41.0,,,35.4,136.3
1909-10-20,1909.0,1900.0,Pakistan,7.0,0.0,231.0,,,30.0,68.0
1909-11-10,1909.0,1900.0,Japan,7.5,150.0,2.0,,,32.3,131.1
1910-01-08,1910.0,1910.0,China,6.8,0.0,1.0,,,35.0,122.0
1910-02-18,1910.0,1910.0,Greece,6.9,150.0,6.0,,,36.0,24.5
1910-04-12,1910.0,1910.0,Japan,7.6,200.0,20.0,,,25.0,123.0
1910-06-24,1910.0,1910.0,Algeria,6.4,33.0,81.0,,,36.1,3.4
1911-01-03,1911.0,1910.0,Kazakhstan,7.8,0.0,450.0,,,43.5,77.5
1911-02-18,1911.0,1910.0,Kyrgyzstan,7.2,0.0,90.0,,,40.0,73.0
1911-04-18,1911.0,1910.0,Iran,6.7,50.0,700.0,,,32.0,56.0
1911-06-07,1911.0,1910.0,Mexico,7.6,0.0,1300.0,,,17.5,-102.5
1911-06-15,1911.0,1910.0,Japan,8.1,90.0,12.0,,,28.0,130.0
1912-01-24,1912.0,1910.0,Greece,6.8,60.0,,,,38.0,20.5
1912-05-06,1912.0,1910.0,Iceland,7.0,0.0,1.0,,,64.0,-20.0
1912-05-23,1912.0,1910.0,Myanmar,7.7,0.0,,,,21.0,97.0
1912-08-09,1912.0,1910.0,Turkey,7.6,0.0,2836.0,,,40.5,27.0
1912-11-19,1912.0,1910.0,Mexico,6.7,15.0,,,,19.83,-99.92
1913-03-14,1913.0,1910.0,Indonesia,7.9,0.0,,,,4.5,126.5
1913-06-14,1913.0,1910.0,Bulgaria,6.8,0.0,500.0,,,43.5,25.5
1913-08-06,1913.0,1910.0,Peru,7.8,0.0,,,,-17.0,-74.0
1913-11-04,1913.0,1910.0,Peru,6.3,10.0,150.0,,,-14.2,-72.9
1913-12-21,1913.0,1910.0,China,7.2,0.0,1314.0,,,24.5,102.0
1914-01-12,1914.0,1910.0,Japan,6.7,5.0,35.0,,,31.6,130.6
1914-03-14,1914.0,1910.0,Japan,7.0,5.0,94.0,,,39.5,140.4
1914-05-08,1914.0,1910.0,Italy,4.9,,69.0,,,37.7,15.2
1914-05-26,1914.0,1910.0,Indonesia,7.9,0.0,,,,-2.0,137.0
1914-06-25,1914.0,1910.0,Indonesia,7.6,0.0,20.0,,,-4.5,102.5
1914-08-04,1914.0,1910.0,China,7.2,0.0,,,,43.5,91.5
1914-10-03,1914.0,1910.0,Turkey,7.1,0.0,4000.0,,,37.5,32.5
1915-01-13,1915.0,1910.0,Italy,6.9,0.0,32610.0,,,42.0,13.5
1915-03-17,1915.0,1910.0,Japan,7.2,35.0,2.0,,,42.1,143.6
1915-06-23,1915.0,1910.0,United States,6.2,,6.0,,,32.8,-115.5
1915-09-07,1915.0,1910.0,El Salvador,7.4,80.0,7.0,,,14.0,-89.0
1915-12-03,1915.0,1910.0,China,7.0,0.0,170.0,,,29.5,91.5
1916-08-28,1916.0,1910.0,Taiwan,7.2,5.0,16.0,,,23.9,120.5
1916-11-14,1916.0,1910.0,Taiwan,6.0,,1.0,,,24.0,121.0
1917-01-04,1917.0,1910.0,Taiwan,6.5,0.0,54.0,,,21.9,120.9
1917-01-21,1917.0,1910.0,Indonesia,6.6,,15000.0,,,-7.0,116.0
1917-01-24,1917.0,1910.0,China,6.5,0.0,,,,31.0,114.0
1917-01-31,1917.0,1910.0,Philippines,6.4,,7.0,,,6.0,125.0
1917-07-30,1917.0,1910.0,China,7.3,0.0,1879.0,,,29.0,104.0
1917-08-31,1917.0,1910.0,Colombia,7.1,0.0,,,,4.0,-74.0
1918-02-13,1918.0,1910.0,China,7.2,15.0,10000.0,,,23.54,117.243
1918-04-21,1918.0,1910.0,United States,6.8,15.0,1.0,,,33.812,-117.44
1918-08-15,1918.0,1910.0,Philippines,8.2,35.0,100.0,,,5.653,123.563
1918-09-07,1918.0,1910.0,Russia,7.6,242.4,24.0,,,46.812,150.253
1918-10-11,1918.0,1910.0,Puerto Rico,7.3,35.0,116.0,,,18.473,-67.631
1919-05-06,1919.0,1910.0,Papua New Guinea,7.6,232.8,,,,-5.477,152.629
1920-06-05,1920.0,1920.0,Taiwan,7.9,35.0,5.0,,,23.813,122.08
1920-01-04,1920.0,1920.0,Mexico,6.2,15.0,,,,19.27,-97.08
1920-02-20,1920.0,1920.0,Georgia,6.2,11.0,130.0,,,42.0,44.1
1920-09-07,1920.0,1920.0,Italy,5.8,10.0,171.0,,,44.3,10.3
1920-12-16,1920.0,1920.0,China,8.6,25.0,273407.0,,,36.601,105.317
1920-12-17,1920.0,1920.0,Argentina,6.0,10.0,400.0,,,-32.7,-68.4
,,,Eritrea,6.1,,,,,15.61,39.445
1921-11-11,1921.0,1920.0,Philippines,7.3,35.0,600.0,,,7.897,127.257
1922-04-26,1922.0,1920.0,Japan,6.8,35.0,2.0,,,35.2,139.8
1922-09-01,1922.0,1920.0,Taiwan,7.5,35.0,5.0,,,24.506,122.04
1922-10-14,1922.0,1920.0,Taiwan,6.9,35.0,6.0,,,24.5,122.0
1922-11-11,1922.0,1920.0,Chile,8.7,35.0,1000.0,,,-28.553,-70.755
1922-12-07,1922.0,1920.0,Japan,6.9,5.0,26.0,,,32.7,130.1
1922-12-08,1922.0,1920.0,Japan,6.5,5.0,,,,32.7,130.1
1923-02-03,1923.0,1920.0,Russia,8.5,35.0,,,,53.853,160.761
1923-03-24,1923.0,1920.0,China,7.2,25.0,5000.0,,,30.553,101.258
1923-04-13,1923.0,1920.0,Russia,7.1,35.0,18.0,,,55.415,162.585
1923-05-25,1923.0,1920.0,Iran,5.7,,2219.0,,,35.2,59.2
1923-09-01,1923.0,1920.0,Japan,7.9,35.0,143000.0,,,35.405,139.084
1923-09-09,1923.0,1920.0,Bangladesh,7.1,35.0,50.0,,,24.943,90.32
1923-09-17,1923.0,1920.0,Iran,6.4,,157.0,,,37.2,57.7
1923-09-22,1923.0,1920.0,Iran,6.9,35.0,290.0,,,29.12,56.928
1923-12-14,1923.0,1920.0,Colombia,5.3,,300.0,,,1.0,-77.5
1924-01-14,1924.0,1920.0,Japan,7.3,5.0,19.0,,,35.5,139.2
1924-03-03,1924.0,1920.0,Ecuador,6.9,,40.0,,,-1.6,-78.6
1924-04-14,1924.0,1920.0,Philippines,8.3,33.0,,,,7.023,125.954
1924-07-03,1924.0,1920.0,China,7.1,35.0,255.0,,,36.632,83.903
1924-07-12,1924.0,1920.0,Kyrgyzstan,6.8,25.0,41.0,,,40.565,73.397
1924-09-13,1924.0,1920.0,Turkey,6.8,35.0,30.0,,,39.864,41.876
1925-03-16,1925.0,1920.0,China,7.0,25.0,5808.0,,,25.688,100.494
1925-05-23,1925.0,1920.0,Japan,6.8,5.0,428.0,,,35.6,134.8
1925-06-29,1925.0,1920.0,United States,6.2,,13.0,,,34.5,-119.6
1925-12-14,1925.0,1920.0,Iran,5.5,,500.0,,,34.6,58.1
1925-12-18,1925.0,1920.0,Iran,5.5,,2.0,,,28.5,51.2
1926-03-18,1926.0,1920.0,Turkey,6.9,35.0,,,,35.787,29.246
1926-06-26,1926.0,1920.0,Greece,7.7,101.8,110.0,,,36.605,26.888
1926-06-28,1926.0,1920.0,Indonesia,6.8,35.0,222.0,,,-0.051,101.522
1926-10-22,1926.0,1920.0,Turkey,5.7,7.0,370.0,,,40.7,43.7
1926-11-05,1926.0,1920.0,Nicaragua,7.1,35.0,,,,12.67,-86.736
1927-03-07,1927.0,1920.0,Japan,7.6,9.6,2925.0,,,35.802,134.924
1927-03-20,1927.0,1920.0,China,5.0,,7.0,,,24.1,102.0
1927-04-14,1927.0,1920.0,Argentina,7.2,35.0,8.0,,,-32.477,-69.675
1927-05-22,1927.0,1920.0,China,7.9,25.0,200000.0,,,37.386,102.311
1927-07-11,1927.0,1920.0,"Palestine, Jordan",6.3,33.0,361.0,,,32.0,35.5
1927-08-24,1927.0,1920.0,Taiwan,6.8,35.0,11.0,,,23.118,120.237
1928-03-22,1928.0,1920.0,Mexico,7.5,35.0,,,,16.127,-96.505
1928-03-31,1928.0,1920.0,Turkey,6.5,,170.0,,,38.1,27.1
1928-04-09,1928.0,1920.0,Peru,6.8,35.0,10.0,,,-13.731,-70.628
1928-04-14,1928.0,1920.0,Bulgaria,6.8,15.0,107.0,,,42.402,25.667
1928-04-18,1928.0,1920.0,Bulgaria,6.8,15.0,103.0,,,42.386,25.087
1928-05-14,1928.0,1920.0,Peru,7.2,35.0,29.0,,,-5.261,-78.559
